cycle;palabra;frase;parrafo
0;0;41;0
1;0;10;32
2;0;10;32
3;1;10;32
4;1;10;33
5;2;11;34
6;4;11;34
7;5;12;34
8;5;13;34
9;6;14;34
10;6;14;35
11;7;16;36
12;7;17;36
13;8;18;36
14;8;18;36
15;8;19;36
16;8;20;37
17;8;20;37
18;8;20;38
19;8;21;39
20;8;23;39
21;8;23;40
22;8;24;40
23;8;24;40
24;8;25;41
25;8;25;43
26;8;26;43
27;8;26;43
28;8;26;44
29;8;26;45
30;8;26;45
31;8;27;45
32;8;27;45
33;8;28;46
34;8;29;46
35;8;29;46
36;8;30;47
37;8;30;47
38;8;31;47
39;8;32;47
40;8;32;48
41;8;33;48
42;8;33;48
43;8;34;48
44;8;35;49
45;8;36;49
46;8;36;49
47;8;36;49
48;8;36;49
49;8;36;49
50;8;38;51
51;8;38;52
52;8;38;52
53;8;39;52
54;8;40;52
55;8;40;55
56;8;41;55
57;8;41;55
58;8;41;56
59;8;41;56
60;8;41;58
61;8;41;58
62;8;41;58
63;8;41;58
64;8;41;58
65;8;41;59
66;8;41;59
67;8;41;60
68;8;41;60
69;8;41;61
70;8;41;61
71;8;41;61
72;8;41;61
73;8;41;62
74;8;41;63
75;8;41;64
76;8;41;64
77;8;41;65
78;8;41;66
79;8;41;67
80;8;41;67
81;8;41;68
82;8;41;68
83;8;41;69
84;8;41;70
85;8;41;70
86;8;41;71
87;8;41;72
88;8;41;73
89;8;41;73
90;8;41;74
91;8;41;74
92;8;41;75
93;8;41;76
94;8;41;76
95;8;41;76
96;8;41;76
97;8;41;76
98;8;41;77
99;8;41;77
100;8;41;77
101;8;41;78
102;8;41;78
103;8;41;80
104;8;41;81
105;8;41;81
106;8;41;81
107;8;41;81
108;8;41;82
109;8;41;82
110;8;41;82
111;8;41;85
112;8;41;85
113;8;41;85
114;8;41;85
115;8;41;86
116;8;41;86
117;8;41;86
118;8;41;87
119;8;41;87
120;8;41;88
121;8;41;88
122;8;41;90
123;8;41;90
124;8;41;91
125;8;41;91
126;8;41;92
127;8;41;93
128;8;41;94
129;8;41;94
130;8;41;94
131;8;41;96
132;8;41;97
133;8;41;97
134;8;41;97
135;8;41;97
136;8;41;97
137;8;41;98
138;8;41;98
139;8;41;99
140;8;41;99
141;8;41;100
142;8;41;100
143;8;41;100
144;8;41;101
145;8;41;102
146;8;41;103
147;8;41;103
148;8;41;103
149;8;41;103
150;8;41;103
151;8;41;103
152;8;41;104
153;8;41;105
154;8;41;106
155;8;41;106
156;8;41;107
157;8;41;107
158;8;41;108
159;8;41;109
160;8;41;109
161;8;41;109
162;8;41;110
163;8;41;111
164;8;41;112
165;8;41;112
166;8;41;113
167;8;41;114
168;8;41;114
169;8;41;115
170;8;41;115
171;8;41;115
172;8;41;116
173;8;41;117
174;8;41;117
175;8;41;118
176;8;41;119
177;8;41;119
178;8;41;120
179;8;41;121
180;8;41;121
181;8;41;121
182;8;41;122
183;8;41;123
184;8;41;124
185;8;41;124
186;8;41;124
187;8;41;125
188;8;41;126
189;8;41;127
190;8;41;127
191;8;41;127
192;8;41;128
193;8;41;129
194;8;41;130
195;8;41;130
196;8;41;130
197;8;41;130
198;8;41;130
199;8;41;130
200;8;41;130
201;8;41;130
202;8;41;130
203;8;41;130
204;8;41;130
205;8;41;130
206;8;41;130
207;8;41;130
208;8;41;130
209;8;41;130
210;8;41;130
211;8;41;130
212;8;41;130
213;8;41;130
214;8;41;130
215;8;41;130
216;8;41;130
217;8;41;130
218;8;41;130
219;8;41;130
220;8;41;130
221;8;41;130
222;8;41;130
223;8;41;130
224;8;41;130
225;8;41;130
226;8;41;130
227;8;41;130
228;8;41;130
229;8;41;130
230;8;41;130
231;8;41;130
232;8;41;130
233;8;41;130
234;8;41;130
235;8;41;130
236;8;41;130
237;8;41;130
238;8;41;130
239;8;41;130
240;8;41;130
241;8;41;130
242;8;41;130
243;8;41;130
244;8;41;130
245;8;41;130
246;8;41;130
247;8;41;130
248;8;41;130
249;8;41;130
250;8;41;130
251;8;41;130
252;8;41;130
253;8;41;130
254;8;41;130
255;8;41;130
256;8;41;130
257;8;41;130
258;8;41;130
259;8;41;130
260;8;41;130
261;8;41;130
262;8;41;130
263;8;41;130
264;8;41;130
265;8;41;130
266;8;41;130
267;8;41;130
268;8;41;130
269;8;41;130
270;8;41;130
271;8;41;130
272;8;41;130
273;8;41;130
274;8;41;130
275;8;41;130
276;8;41;130
277;8;41;130
278;8;41;130
279;8;41;130
280;8;41;130
281;8;41;130
282;8;41;130
283;8;41;130
284;8;41;130
285;8;41;130
286;8;41;130
287;8;41;130
288;8;41;130
289;8;41;130
290;8;41;130
291;8;41;130
292;8;41;130
293;8;41;130
294;8;41;130
295;8;41;130
296;8;41;130
297;8;41;130
298;8;41;130
299;8;41;130
300;8;41;130
301;8;41;130
302;8;41;130
303;8;41;130
304;8;41;130
305;8;41;130
306;8;41;130
307;8;41;130
308;8;41;130
309;8;41;130
310;8;41;130
311;8;41;130
312;8;41;130
313;8;41;130
314;8;41;130
315;8;41;130
316;8;41;130
317;8;41;130
318;8;41;130
319;8;41;130
320;8;41;130
321;8;41;130
322;8;41;130
323;8;41;130
324;8;41;130
325;8;41;130
326;8;41;130
327;8;41;130
328;8;41;130
329;8;41;130
330;8;41;130
331;8;41;130
332;8;41;130
333;8;41;130
334;8;41;130
335;8;41;130
336;8;41;130
337;8;41;130
338;8;41;130
339;8;41;130
340;8;41;130
341;8;41;130
342;8;41;130
343;8;41;130
344;8;41;130
345;8;41;130
346;8;41;130
347;8;41;130
348;8;41;130
349;8;41;130
350;8;41;130
351;8;41;130
352;8;41;130
353;8;41;130
354;8;41;130
355;8;41;130
356;8;41;130
357;8;41;130
358;8;41;130
359;8;41;130
360;8;41;130
361;8;41;130
362;8;41;130
363;8;41;130
364;8;41;130
365;8;41;130
366;8;41;130
367;8;41;130
368;8;41;130
369;8;41;130
370;8;41;130
371;8;41;130
372;8;41;130
373;8;41;130
374;8;41;130
375;8;41;130
376;8;41;130
377;8;41;130
378;8;41;130
379;8;41;130
380;8;41;130
381;8;41;130
382;8;41;130
383;8;41;130
384;8;41;130
385;8;41;130
386;8;41;130
387;8;41;130
388;8;41;130
389;8;41;130
390;8;41;130
391;8;41;130
392;8;41;130
393;8;41;130
394;8;41;130
395;8;41;130
396;8;41;130
397;8;41;130
398;8;41;130
399;8;41;130
400;8;41;130
401;8;41;130
402;8;41;130
403;8;41;130
404;8;41;130
405;8;41;130
406;8;41;130
407;8;41;130
408;8;41;130
409;8;41;130
410;8;41;130
411;8;41;130
412;8;41;130
413;8;41;130
414;8;41;130
